outcome,beta,se,p_value,n_obs,r_squared
Import Cost (log),0.4540389748419583,0.5617563188797088,0.4190261206908238,2642,0.9766482675813807
GDI,-0.004839646204159699,0.05675180814401504,0.9320478664753051,2642,0.9909733245363034
Dev Import Share,-0.0415947654832346,0.059474999428256674,0.4843903303202432,2642,0.9778803115161917
