outcome,overall_att,overall_se,z_stat,p_value,significant_5pct,n_cohorts,n_gt_cells,n_obs,n_treated_countries,n_never_treated
Import cost (log),0.1303093230758508,0.08821869679082713,1.4771168450246277,0.13964431885979067,False,5,45,2642,54,141
GDI (Source Diversity),-0.0024297071698658993,0.0045340924400451964,0.5358750845939259,0.5920448850861164,False,5,45,2642,54,141
Dev-Country Import Share (GEI),0.00397555983122881,0.004753910703912139,0.8362714570884136,0.40300220671650955,False,5,45,2642,54,141
