scenario,welfare_change_pct,gdi_mean,gdi_change_vs_bau_pct,gsi_change_pct,gei_global,gei_change_vs_bau_pct
Business as Usual,-16.65526430377648,0.9097856840545409,0.0,-0.096128820919235,0.5294563896578757,0.0
Full Decoupling from China,-16.72846627487986,0.9092938716680944,-0.0540580485125408,-0.0974089481979213,0.5236134083589241,-1.1035812227570196
CBAM Extension,-17.04397336139828,0.912202663929752,0.2656647513335,-0.1088559361242798,0.5118357801154597,-3.3280568308566543
Climate Club (G7+China),-17.160573611161034,0.9101509789032955,0.0401517472914001,-0.0830842085232846,0.527301973692148,-0.406910938806456
Inclusive Green Trade,-6.445025751078182,0.8991525427155083,-1.1687523254537202,0.0404725412932911,0.6133150743481345,15.83863871100822
China Export Restrictions,-16.94235534022927,0.90681672528131,-0.3263360619172681,-0.0952863403993863,0.5253103480321806,-0.7830751893228046
