outcome,beta_did,se,p_value,ci_95_lower,ci_95_upper,r_squared,n_obs
Import cost (log),-0.0366884967872599,0.1178063476981973,0.7554999521605845,-0.2675889382757266,0.19421194470120678,0.9766429396384259,2642
GDI,0.05232182259033735,0.011852852304718086,1.05760774310681e-05,0.029090232073089903,0.0755534131075848,0.9910448720701209,2642
Dev import share,-0.044351006630402826,0.012439989879175318,0.00037057573327349276,-0.06873338679358645,-0.019968626467219204,0.9779906207692324,2642
